treeID,treeRatio_branch2height,treeRatio_CL_dim,treeAvg_crown_radius,treeDbh,treeRatio_dbh_th,treeRatio_dbh_volume,treeRatio_dbh_minsrad,treeStem_taper,treeStem_length,treeRatio_slength_theight,treeAngleX,treeAngleY,treeAngleZ,treeStem_volume,treeVolume8010,treeRatio_maxcdim_height,treeRatio_clength_volume,treeRatio_volume_area ,treeRatio_volume_height,treeRatio_volume_diameter,treeCrown_start_height  ,treeRatio_csh_th,treeLcl,treeRatio_lcl_th,treeCd_xy,treeCcd_xy,treeCd_xz,treeCcd_xz,treeCd_yz,treeCcd_yz,treeRatio_lcl_cdxy,treeRatio_cdxy_th,treeRatio_cdxy_ccdxy,treeRatio_cdxz_ccdxz,treeRatio_cdyz_ccdyz,branchLength,branchRadius,branchVolume,branchAxisX,branchAxisY,branchAxisZ,branchAngleX,branchAngleY,branchAngleZ,branchAngle2parent,branchRatio_2p_length,branchRatio_2p_volume,branchRatio_length2volume,branchRatio_2p_radius,branchAvg_dist_child ,cylinderID,cylinderPosInBranch,cylinderParentCylID,cylinderChildCyID,cylinderStartX,cylinderStartY,cylinderStartZ,cylinderAxisX,cylinderAxisY,cylinderAxisZ,cylinderLength,cylinderRadius,cylinderAngleX,cylinderAngleY,cylinderAngleZ,cylinderAngle2parent,cylinderRatio_length2bl,cylinderRatio_radius2bl,cylinderVolume,cylinderRatio_volume2pv
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,11,11,10,12,-0.61682,0.98646,-2.7728,0.048479,0.066528,0.99661,0.13227,0.072037,1.522298504,1.50421941,0.08241054,0.165701398,0.554754016,0.302130604,0.002156366,0.632265122
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,12,12,11,13,-0.62036,1.0016,-2.6388,0.15127,-0.1016,0.98326,0.17583,0.073419,1.418943808,1.672571663,0.183246196,0.197834442,0.737449147,0.307926855,0.002977555,1.380820786
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,13,13,12,14,-0.58147,0.96956,-2.4616,-0.11089,0.20334,0.97281,0.35979,0.075617,1.681914685,1.366028655,0.23373323,0.405037538,1.508996351,0.317145493,0.006463055,2.170591356
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,14,14,13,15,-0.60346,1.0269,-2.1107,0.0064929,0.058881,0.99824,0.20041,0.05922,1.564303356,1.511881021,0.05927284,0.188144127,0.8405402,0.248374785,0.002208036,0.341639611
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,15,15,14,16,-0.60091,1.0357,-1.9104,-0.049395,0.079608,0.9956,0.17877,0.058179,1.620211518,1.491103868,0.093824999,0.059675053,0.74977981,0.244008724,0.001900978,0.860936163
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,16,16,15,17,-0.60941,1.0521,-1.7325,-0.077028,0.052868,0.99563,0.27012,0.056898,1.647900416,1.517903865,0.093561672,0.038455043,1.132911127,0.238636078,0.002747265,1.44518551
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,17,17,16,18,-0.61654,1.0742,-1.4606,-0.11568,-0.16766,0.97903,0.10871,0.060162,1.686736391,1.73925264,0.205131675,0.224978434,0.455940947,0.25232563,0.001236129,0.449948992
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,18,18,17,19,-0.61935,1.0645,-1.3528,-0.27067,0.16179,0.94898,0.21241,0.065106,1.844885088,1.408292151,0.320812922,0.367388132,0.890869438,0.273061276,0.00282857,2.288247309
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,19,19,18,20,-0.67479,1.1386,-1.151,-0.21478,0.0041682,0.97665,0.32948,0.052896,1.787263659,1.5666281,0.216508741,0.169714769,1.381873086,0.221851277,0.002896174,1.023900451
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,20,20,19,21,-0.72839,1.1298,-0.82635,-0.14074,0.036842,0.98936,0.09873,0.041567,1.712005263,1.533945956,0.146000501,0.081944057,0.414083798,0.174336283,0.000535916,0.185042624
